Person,Job Title,Fees,Contact Info,Address,Recommendation,Gender,Hospital,Email,Experience
Spencer Griffin,Neurosurgeon,$330 ,76-622897,Nabatieh,9,Male,Al Najda,spencer.griffin@gmail.com,35
Lance Smith,Vascular Surgeon,$851 ,76-634414,Byblos,9,Male,Saint Georges,lance.smith@gmail.com,16
Victor Reed,Neurosurgeon,$321 ,76-980879,Zahle,4,Male,General Hospital,victor.reed@gmail.com,28
Julian Patterson,Neurosurgeon,$905 ,81-452823,Sidon,4,Male,General Hospital,julian.patterson@gmail.com,10
Kimberly Armstrong,Pediatric Surgeon,"$1,130 ",71-864591,Tripoli,8,Female,General Hospital,kimberly.armstrong@gmail.com,20
Barbara Frank,Orthopedic Surgeon,$471 ,71-296304,Tyre,8,Female,General Hospital,barbara.frank@gmail.com,22
Steven Lawson,Neurosurgeon,$624 ,76-984503,Baalbek,2,Male,Al Zahraa,steven.lawson@gmail.com,26
Jeffrey Mcdonald,Pediatric Surgeon,$956 ,76-799044,Tyre,9,Male,General Hospital,jeffrey.mcdonald@gmail.com,14
Brenda Moore,Plastic Surgeon,$991 ,81-182504,Nabatieh,7,Female,Hammoud Hospital,brenda.moore@gmail.com,7
Sara Mendoza,General Surgeon,$590 ,76-236185,Zahle,6,Female,General Hospital,sara.mendoza@gmail.com,6
Anna Moore,Orthopedic Surgeon,$759 ,81-917946,Tripoli,10,Female,General Hospital,anna.moore@gmail.com,28
Misty Mcdaniel,Urologic Surgeon,$553 ,81-833474,Aley,9,Male,Aley Medical Center,misty.mcdaniel@gmail.com,35
Tyler Calderon,Orthopedic Surgeon,"$1,105 ",76-714671,Nabatieh,4,Male,Hammoud Hospital,tyler.calderon@gmail.com,15
Nicole Rose,Oncologic Surgeon,"$1,489 ",76-992926,Aley,4,Male,Mount Lebanon,nicole.rose@gmail.com,5
Jeremy Davis,Neurosurgeon,$974 ,76-438854,Tyre,6,Male,General Hospital,jeremy.davis@gmail.com,16
Robert Wilson,Urologic Surgeon,$473 ,71-331094,Tyre,7,Male,General Hospital,robert.wilson@gmail.com,35
Michelle Trevino,General Surgeon,$868 ,81-206246,Aley,4,Male,Aley Medical Center,michelle.trevino@gmail.com,33
Kim Chambers,Urologic Surgeon,$957 ,76-487099,Tyre,10,Female,General Hospital,kim.chambers@gmail.com,29
David Mathis,General Surgeon,"$1,227 ",71-584217,Jounieh,0,Male,General Hospital,david.mathis@gmail.com,8
Alexa Hudson,Pediatric Surgeon,$343 ,76-717838,Beirut,10,Female,Najjar,alexa.hudson@gmail.com,29
Mario Townsend,Vascular Surgeon,"$1,112 ",76-880394,Beirut,5,Male,Rafic Hariri,mario.townsend@gmail.com,1
Bill Gutierrez,Urologic Surgeon,"$1,260 ",81-291059,Baalbek,4,Male,Al Zahraa,bill.gutierrez@gmail.com,2
Peter Rodriguez,Pediatric Surgeon,"$1,498 ",81-273906,Zahle,5,Male,General Hospital,peter.rodriguez@gmail.com,23
Daryl Barton,Vascular Surgeon,$611 ,81-686317,Tyre,1,Male,General Hospital,daryl.barton@gmail.com,24
Steven Prince,Cardiothoracic Surgeon,"$1,241 ",81-496590,Zahle,5,Male,General Hospital,steven.prince@gmail.com,3
Michelle Morales,Vascular Surgeon,"$1,016 ",76-684298,Jounieh,4,Male,General Hospital,michelle.morales@gmail.com,33
Julian Hill,Oncologic Surgeon,$635 ,71-486564,Aley,5,Male,Mount Lebanon,julian.hill@gmail.com,5
Abigail Jackson,Pediatric Surgeon,$978 ,81-169898,Tripoli,10,Male,General Hospital,abigail.jackson@gmail.com,13
Jeffrey Cole,Pediatric Surgeon,"$1,108 ",71-387330,Tyre,8,Male,General Hospital,jeffrey.cole@gmail.com,5
Lisa Wang,Cardiothoracic Surgeon,"$1,266 ",81-404460,Tripoli,10,Female,General Hospital,lisa.wang@gmail.com,21
Danielle Odom,Orthopedic Surgeon,$905 ,76-325154,Beirut,6,Male,Rafic Hariri,danielle.odom@gmail.com,29
Melissa Beasley,Orthopedic Surgeon,$445 ,71-930579,Sidon,5,Female,General Hospital,melissa.beasley@gmail.com,20
Elaine Morse,Urologic Surgeon,$614 ,76-520698,Baalbek,4,Female,Al Zahraa,elaine.morse@gmail.com,31
Jacqueline Kennedy,Neurosurgeon,$936 ,76-515377,Beirut,3,Female,CMC,jacqueline.kennedy@gmail.com,12
Mary Marsh,Cardiothoracic Surgeon,$815 ,76-136711,Tyre,1,Female,General Hospital,mary.marsh@gmail.com,14
Heather Joseph,Cardiothoracic Surgeon,$804 ,81-343645,Byblos,9,Male,Notre Dame de Secours,heather.joseph@gmail.com,11
Gregory Nicholson,Orthopedic Surgeon,$824 ,76-834188,Byblos,2,Male,Notre Dame de Secours,gregory.nicholson@gmail.com,1
Katherine Scott,Urologic Surgeon,$591 ,81-606814,Sidon,6,Female,General Hospital,katherine.scott@gmail.com,23
John Orozco,General Surgeon,"$1,106 ",71-453141,Nabatieh,10,Male,Al Najda,john.orozco@gmail.com,23
Joseph Allen,Urologic Surgeon,$569 ,81-257043,Zahle,5,Male,General Hospital,joseph.allen@gmail.com,25
Colleen Hoover,Pediatric Surgeon,$471 ,81-948988,Beirut,0,Female,Rafic Hariri,colleen.hoover@gmail.com,4
James Day,Vascular Surgeon,$433 ,76-863691,Baalbek,9,Male,Dar El Amal,james.day@gmail.com,6
Brian Davis,Vascular Surgeon,"$1,008 ",81-715591,Jounieh,10,Male,General Hospital,brian.davis@gmail.com,16
Rebekah Sullivan,Oncologic Surgeon,"$1,105 ",71-829716,Jounieh,1,Female,General Hospital,rebekah.sullivan@gmail.com,4
Kendra Bell,Pediatric Surgeon,"$1,002 ",71-417987,Aley,7,Female,Mount Lebanon,kendra.bell@gmail.com,9
Omar Brown,General Surgeon,"$1,283 ",81-903516,Nabatieh,0,Male,Hammoud Hospital,omar.brown@gmail.com,10
Tina Crawford,Plastic Surgeon,$893 ,76-655889,Zahle,3,Female,General Hospital,tina.crawford@gmail.com,31
Joshua Jimenez,Vascular Surgeon,$442 ,81-113738,Beirut,6,Male,Najjar,joshua.jimenez@gmail.com,30
Michael Henry,Plastic Surgeon,$625 ,81-317629,Sidon,0,Male,General Hospital,michael.henry@gmail.com,11
Christine Walker,Cardiothoracic Surgeon,$962 ,76-994222,Tyre,8,Female,General Hospital,christine.walker@gmail.com,13
Richard Ramsey,Neurosurgeon,$774 ,76-930364,Zahle,8,Male,General Hospital,richard.ramsey@gmail.com,23
Allison Gray,Pediatric Surgeon,$406 ,71-946053,Zahle,5,Female,General Hospital,allison.gray@gmail.com,32
Brian Bates,Oncologic Surgeon,"$1,383 ",76-668735,Sidon,6,Male,General Hospital,brian.bates@gmail.com,7
Crystal Chapman,Pediatric Surgeon,$714 ,76-747194,Sidon,10,Female,General Hospital,crystal.chapman@gmail.com,10
James Keller,Cardiothoracic Surgeon,"$1,005 ",76-711657,Sidon,3,Male,General Hospital,james.keller@gmail.com,14
Cody Contreras,General Surgeon,$548 ,76-433592,Byblos,3,Male,Saint Georges,cody.contreras@gmail.com,14
Laura Woods,Pediatric Surgeon,$702 ,76-426829,Jounieh,8,Female,General Hospital,laura.woods@gmail.com,7
Jason Lyons,Pediatric Surgeon,"$1,425 ",76-738335,Tripoli,9,Male,General Hospital,jason.lyons@gmail.com,27
Emily Duke,Oncologic Surgeon,$356 ,81-445625,Aley,6,Female,Aley Medical Center,emily.duke@gmail.com,29
Jorge Duncan,Orthopedic Surgeon,$815 ,81-671813,Tyre,7,Male,General Hospital,jorge.duncan@gmail.com,24
Scott Rodriguez,Pediatric Surgeon,"$1,066 ",76-320644,Tyre,0,Male,General Hospital,scott.rodriguez@gmail.com,25
Michael Parker,Orthopedic Surgeon,"$1,086 ",71-763735,Sidon,9,Male,General Hospital,michael.parker@gmail.com,29
Yolanda Contreras,Plastic Surgeon,"$1,357 ",71-242730,Beirut,4,Female,Najjar,yolanda.contreras@gmail.com,28
Brandon Lang,Pediatric Surgeon,"$1,097 ",81-478102,Zahle,8,Male,General Hospital,brandon.lang@gmail.com,17
Juan Johns,Urologic Surgeon,$410 ,76-522711,Aley,3,Male,Aley Medical Center,juan.johns@gmail.com,19
Jessica Fitzgerald,Plastic Surgeon,$540 ,71-835790,Nabatieh,8,Female,Hammoud Hospital,jessica.fitzgerald@gmail.com,3
Justin White,Vascular Surgeon,$465 ,81-347843,Zahle,5,Male,General Hospital,justin.white@gmail.com,30
Donna Lee,Vascular Surgeon,"$1,079 ",76-980958,Zahle,0,Female,General Hospital,donna.lee@gmail.com,32
Michael Rogers,Pediatric Surgeon,$638 ,71-779251,Sidon,7,Male,General Hospital,michael.rogers@gmail.com,13
Carl Reynolds,General Surgeon,"$1,211 ",81-680331,Zahle,3,Male,General Hospital,carl.reynolds@gmail.com,6
Dwayne Morgan,Neurosurgeon,$744 ,81-301248,Sidon,5,Male,General Hospital,dwayne.morgan@gmail.com,30
Janice Cole,Oncologic Surgeon,$756 ,76-568331,Jounieh,8,Female,General Hospital,janice.cole@gmail.com,13
Kenneth Luna,Cardiothoracic Surgeon,$496 ,76-256437,Sidon,10,Male,General Hospital,kenneth.luna@gmail.com,30
Connie Haley,Pediatric Surgeon,$556 ,71-988602,Baalbek,9,Male,Dar El Amal,connie.haley@gmail.com,2
Ellen White,Plastic Surgeon,"$1,173 ",71-835222,Zahle,5,Female,General Hospital,ellen.white@gmail.com,32
Yvonne Bowen,Plastic Surgeon,$423 ,81-457638,Byblos,6,Male,Saint Georges,yvonne.bowen@gmail.com,1
Rebecca Brown,Cardiothoracic Surgeon,$774 ,76-947195,Aley,8,Female,Mount Lebanon,rebecca.brown@gmail.com,32
Angela Mccullough,Oncologic Surgeon,$498 ,76-288772,Tyre,5,Female,General Hospital,angela.mccullough@gmail.com,20
Adam Carroll,Urologic Surgeon,$575 ,81-968956,Tripoli,1,Male,General Hospital,adam.carroll@gmail.com,17
James Nguyen,Orthopedic Surgeon,"$1,079 ",76-167391,Sidon,3,Male,General Hospital,james.nguyen@gmail.com,11
Jessica Lane,Pediatric Surgeon,$820 ,81-615680,Sidon,4,Female,General Hospital,jessica.lane@gmail.com,27
David Stevenson,Urologic Surgeon,$403 ,76-664673,Byblos,0,Male,Notre Dame de Secours,david.stevenson@gmail.com,3
Sara Joseph,Neurosurgeon,$315 ,76-370476,Byblos,1,Female,Notre Dame de Secours,sara.joseph@gmail.com,14
Michael Obrien,Cardiothoracic Surgeon,"$1,197 ",71-554599,Zahle,1,Male,General Hospital,michael.obrien@gmail.com,27
Taylor Jones,General Surgeon,$359 ,76-987223,Tripoli,8,Male,General Hospital,taylor.jones@gmail.com,7
Dorothy Humphrey,Urologic Surgeon,$605 ,81-599265,Nabatieh,9,Female,Al Najda,dorothy.humphrey@gmail.com,5
Nathan Patterson,Oncologic Surgeon,"$1,090 ",81-218997,Zahle,2,Male,General Hospital,nathan.patterson@gmail.com,14
Robert Norris,Oncologic Surgeon,$737 ,81-856403,Nabatieh,2,Male,Hammoud Hospital,robert.norris@gmail.com,20
Todd Miller,Plastic Surgeon,$946 ,76-280966,Aley,9,Male,Mount Lebanon,todd.miller@gmail.com,13
Maureen Escobar,Vascular Surgeon,"$1,261 ",81-332606,Tyre,4,Male,General Hospital,maureen.escobar@gmail.com,34
Nicholas Harris,Orthopedic Surgeon,"$1,341 ",81-357013,Jounieh,9,Male,General Hospital,nicholas.harris@gmail.com,18
Anne Morris,General Surgeon,"$1,135 ",76-965606,Byblos,2,Female,Notre Dame de Secours,anne.morris@gmail.com,12
Thomas Jackson,Pediatric Surgeon,"$1,003 ",71-786325,Nabatieh,9,Male,Al Najda,thomas.jackson@gmail.com,22
Ronald Smith,Neurosurgeon,"$1,098 ",81-980930,Aley,6,Male,Aley Medical Center,ronald.smith@gmail.com,14
Robert Jacobs,Neurosurgeon,$452 ,71-224115,Sidon,8,Male,General Hospital,robert.jacobs@gmail.com,8
Debbie Taylor,Urologic Surgeon,$671 ,76-232209,Tyre,5,Female,General Hospital,debbie.taylor@gmail.com,29
Chad Avila,Plastic Surgeon,"$1,244 ",71-448915,Byblos,2,Male,Notre Dame de Secours,chad.avila@gmail.com,30
Matthew Wagner,Pediatric Surgeon,$796 ,81-951338,Sidon,4,Male,General Hospital,matthew.wagner@gmail.com,6
Thomas Espinoza,Plastic Surgeon,$720 ,76-870975,Jounieh,9,Male,General Hospital,thomas.espinoza@gmail.com,11
David Patterson,Orthopedic Surgeon,$922 ,81-670878,Byblos,7,Male,Saint Georges,david.patterson@gmail.com,32
April Mendoza,Vascular Surgeon,$679 ,81-916950,Byblos,4,Female,Notre Dame de Secours,april.mendoza@gmail.com,21
Antonio Hartman,Plastic Surgeon,$332 ,71-398023,Beirut,2,Male,AUBMC,antonio.hartman@gmail.com,27
Wendy Ramos,Vascular Surgeon,"$1,340 ",81-325932,Tyre,5,Female,General Hospital,wendy.ramos@gmail.com,13
Jennifer Robinson,Cardiothoracic Surgeon,$742 ,71-349324,Sidon,8,Female,General Hospital,jennifer.robinson@gmail.com,10
Natalie Buchanan,Oncologic Surgeon,$765 ,81-836307,Jounieh,4,Female,General Hospital,natalie.buchanan@gmail.com,26
Megan Pearson,Pediatric Surgeon,"$1,147 ",81-338872,Tripoli,8,Female,General Hospital,megan.pearson@gmail.com,12
Gary Brooks,Vascular Surgeon,$981 ,81-255360,Tyre,9,Male,General Hospital,gary.brooks@gmail.com,35
Jennifer Fox,Orthopedic Surgeon,$852 ,81-954610,Baalbek,3,Female,Dar El Amal,jennifer.fox@gmail.com,33
Danielle Jones,Cardiothoracic Surgeon,"$1,170 ",71-539140,Byblos,0,Male,Notre Dame de Secours,danielle.jones@gmail.com,22
Alexander Ruiz,General Surgeon,"$1,075 ",76-771559,Beirut,5,Male,Rafic Hariri,alexander.ruiz@gmail.com,19
John Osborne,Urologic Surgeon,$313 ,71-211112,Tyre,5,Male,General Hospital,john.osborne@gmail.com,31
Mary Collier,Neurosurgeon,$639 ,71-785439,Baalbek,10,Female,Dar El Amal,mary.collier@gmail.com,14
Rachael Bauer,Orthopedic Surgeon,$309 ,81-641852,Sidon,9,Female,General Hospital,rachael.bauer@gmail.com,20
Christopher Lopez,Plastic Surgeon,$555 ,76-618883,Baalbek,1,Male,Dar El Amal,christopher.lopez@gmail.com,3
Scott Lee,Orthopedic Surgeon,$408 ,71-304407,Nabatieh,8,Male,Hammoud Hospital,scott.lee@gmail.com,6
Carrie Long,Orthopedic Surgeon,"$1,113 ",81-555507,Beirut,3,Male,AUBMC,carrie.long@gmail.com,32
Gregory Guerrero,Neurosurgeon,"$1,068 ",81-294481,Jounieh,4,Male,General Hospital,gregory.guerrero@gmail.com,2
Dillon Gonzalez,Cardiothoracic Surgeon,"$1,175 ",76-593522,Tyre,7,Male,General Hospital,dillon.gonzalez@gmail.com,24
Jennifer Robinson,General Surgeon,"$1,390 ",81-403285,Byblos,3,Female,Notre Dame de Secours,jennifer.robinson@gmail.com,34
Jamie Dawson,Urologic Surgeon,$428 ,76-985811,Tripoli,5,Female,General Hospital,jamie.dawson@gmail.com,20
Courtney Evans,Urologic Surgeon,"$1,131 ",71-991972,Jounieh,4,Female,General Hospital,courtney.evans@gmail.com,21
Erin Savage,Cardiothoracic Surgeon,$957 ,76-415634,Baalbek,0,Male,Dar El Amal,erin.savage@gmail.com,4
Crystal Rogers,Cardiothoracic Surgeon,"$1,385 ",81-990726,Sidon,6,Female,General Hospital,crystal.rogers@gmail.com,31
Kevin Bird,Pediatric Surgeon,$969 ,71-463094,Baalbek,10,Male,Dar El Amal,kevin.bird@gmail.com,10
Whitney Christensen,Urologic Surgeon,$846 ,81-803842,Byblos,10,Female,Saint Georges,whitney.christensen@gmail.com,21
Michelle Reynolds,Vascular Surgeon,$553 ,71-859294,Byblos,0,Female,Saint Georges,michelle.reynolds@gmail.com,24
Melinda Moore,Orthopedic Surgeon,$734 ,76-325465,Beirut,2,Female,CMC,melinda.moore@gmail.com,19
Jonathan Boyd,Vascular Surgeon,$377 ,71-957809,Tripoli,7,Male,General Hospital,jonathan.boyd@gmail.com,7
Michael Ellis,Plastic Surgeon,$492 ,81-892474,Tripoli,3,Male,General Hospital,michael.ellis@gmail.com,8
Matthew Morrow,Neurosurgeon,$367 ,71-340148,Aley,8,Male,Mount Lebanon,matthew.morrow@gmail.com,8
David Campbell,General Surgeon,$426 ,81-356099,Beirut,0,Male,Rafic Hariri,david.campbell@gmail.com,10
Leslie Dodson,Neurosurgeon,$469 ,81-289366,Baalbek,9,Female,Dar El Amal,leslie.dodson@gmail.com,25
Roberto Walton,Neurosurgeon,$408 ,81-630222,Zahle,10,Male,General Hospital,roberto.walton@gmail.com,15
Paul Golden,Neurosurgeon,$482 ,76-695379,Baalbek,3,Male,Al Zahraa,paul.golden@gmail.com,23
Heather Torres,Orthopedic Surgeon,"$1,144 ",81-330306,Beirut,9,Female,AUBMC,heather.torres@gmail.com,26
Brenda Kennedy,Orthopedic Surgeon,"$1,182 ",76-345082,Jounieh,8,Female,General Hospital,brenda.kennedy@gmail.com,4
Ashley Brady,Urologic Surgeon,$551 ,81-147990,Nabatieh,7,Female,Hammoud Hospital,ashley.brady@gmail.com,1
Brandon Cameron,General Surgeon,$728 ,71-486720,Nabatieh,6,Male,Hammoud Hospital,brandon.cameron@gmail.com,5
Derek Hanson,Pediatric Surgeon,"$1,284 ",71-686450,Beirut,2,Male,AUBMC,derek.hanson@gmail.com,24
Andrew Brooks,Pediatric Surgeon,"$1,277 ",76-203003,Jounieh,5,Male,General Hospital,andrew.brooks@gmail.com,27
Elizabeth Rogers,Vascular Surgeon,"$1,449 ",76-779429,Aley,1,Female,Mount Lebanon,elizabeth.rogers@gmail.com,14
David Knight,Urologic Surgeon,$369 ,76-358277,Jounieh,10,Male,General Hospital,david.knight@gmail.com,4
Daniel Marshall,Urologic Surgeon,$894 ,81-883230,Beirut,0,Male,Najjar,daniel.marshall@gmail.com,9
Michael Mcmillan,Urologic Surgeon,$960 ,71-872408,Beirut,6,Male,Rafic Hariri,michael.mcmillan@gmail.com,13
Emily Moon,Vascular Surgeon,$677 ,76-484636,Beirut,5,Female,Rafic Hariri,emily.moon@gmail.com,7
Desiree Guzman,Oncologic Surgeon,"$1,254 ",81-804825,Tyre,2,Male,General Hospital,desiree.guzman@gmail.com,15
Katherine Jordan,General Surgeon,"$1,359 ",81-181924,Zahle,2,Female,General Hospital,katherine.jordan@gmail.com,12
Alexandra Erickson,Pediatric Surgeon,"$1,474 ",71-761350,Tripoli,7,Female,General Hospital,alexandra.erickson@gmail.com,26
Hunter Reeves,Urologic Surgeon,$979 ,71-965538,Beirut,9,Male,AUBMC,hunter.reeves@gmail.com,28
Matthew Douglas,Cardiothoracic Surgeon,$660 ,81-990898,Byblos,1,Male,Saint Georges,matthew.douglas@gmail.com,31
Pam Atkinson,Orthopedic Surgeon,$539 ,71-456440,Tripoli,2,Male,General Hospital,pam.atkinson@gmail.com,27
Rebecca Bowen,General Surgeon,$927 ,81-699665,Aley,7,Female,Aley Medical Center,rebecca.bowen@gmail.com,32
Tyler Campbell,Plastic Surgeon,$461 ,71-464335,Tripoli,10,Male,General Hospital,tyler.campbell@gmail.com,29
Laurie Ruiz,Vascular Surgeon,$527 ,81-273656,Jounieh,4,Female,General Hospital,laurie.ruiz@gmail.com,2
Kelly Keller,Vascular Surgeon,$919 ,71-952009,Sidon,2,Female,General Hospital,kelly.keller@gmail.com,22
Rachel Gonzalez,Plastic Surgeon,"$1,391 ",76-664942,Baalbek,10,Female,Al Zahraa,rachel.gonzalez@gmail.com,18
Kelli Johnson,Oncologic Surgeon,"$1,362 ",76-249120,Tripoli,2,Female,General Hospital,kelli.johnson@gmail.com,34
Ronald Lopez,Urologic Surgeon,$867 ,81-678970,Byblos,3,Male,Saint Georges,ronald.lopez@gmail.com,2
Sarah Chapman,Oncologic Surgeon,"$1,346 ",71-453234,Byblos,7,Female,Saint Georges,sarah.chapman@gmail.com,23
Steven Anderson,Pediatric Surgeon,"$1,318 ",71-663293,Tyre,0,Male,General Hospital,steven.anderson@gmail.com,29
William Scott,Neurosurgeon,"$1,317 ",71-109259,Jounieh,0,Male,General Hospital,william.scott@gmail.com,9
Jill Nguyen,Vascular Surgeon,"$1,424 ",81-417900,Byblos,8,Male,Saint Georges,jill.nguyen@gmail.com,25
Charles Williams,Neurosurgeon,$639 ,71-566648,Baalbek,0,Male,Dar El Amal,charles.williams@gmail.com,18
Nathan Lee,Urologic Surgeon,"$1,259 ",76-583332,Aley,5,Male,Mount Lebanon,nathan.lee@gmail.com,11
Philip Hill,Plastic Surgeon,"$1,272 ",81-434646,Byblos,0,Male,Saint Georges,philip.hill@gmail.com,34
Brandon Owens,Oncologic Surgeon,$751 ,71-226100,Tyre,10,Male,General Hospital,brandon.owens@gmail.com,28
Kimberly Olson,Orthopedic Surgeon,$574 ,81-673421,Sidon,8,Female,General Hospital,kimberly.olson@gmail.com,32
Jermaine Clark,Vascular Surgeon,$675 ,71-348378,Baalbek,0,Male,Al Zahraa,jermaine.clark@gmail.com,8
Anthony Vasquez,Pediatric Surgeon,$367 ,76-653925,Beirut,1,Male,CMC,anthony.vasquez@gmail.com,31
Patricia Strong,Pediatric Surgeon,$417 ,71-226947,Jounieh,1,Female,General Hospital,patricia.strong@gmail.com,11
Brittany Fry,General Surgeon,"$1,057 ",76-920239,Aley,2,Female,Aley Medical Center,brittany.fry@gmail.com,22
Stephanie Noble,Orthopedic Surgeon,$303 ,71-464295,Sidon,7,Female,General Hospital,stephanie.noble@gmail.com,12
Jesse Cross,Urologic Surgeon,"$1,497 ",71-574280,Baalbek,2,Male,Dar El Amal,jesse.cross@gmail.com,2
Mark Combs,Cardiothoracic Surgeon,"$1,410 ",81-829725,Tyre,3,Male,General Hospital,mark.combs@gmail.com,27
David Taylor,General Surgeon,"$1,334 ",71-483388,Nabatieh,5,Male,Al Najda,david.taylor@gmail.com,34
Barry Wilson,Orthopedic Surgeon,$941 ,76-471206,Sidon,0,Male,General Hospital,barry.wilson@gmail.com,30
Tiffany Gomez,Oncologic Surgeon,"$1,401 ",71-359315,Nabatieh,8,Female,Hammoud Hospital,tiffany.gomez@gmail.com,1
Margaret Hobbs,Pediatric Surgeon,$459 ,76-865645,Tyre,9,Female,General Hospital,margaret.hobbs@gmail.com,27
Brian Graham,Vascular Surgeon,$322 ,71-321171,Zahle,6,Male,General Hospital,brian.graham@gmail.com,7
Sean Christian,Urologic Surgeon,$423 ,81-933181,Tripoli,3,Male,General Hospital,sean.christian@gmail.com,34
Linda Bailey,Orthopedic Surgeon,"$1,500 ",71-874403,Nabatieh,8,Female,Hammoud Hospital,linda.bailey@gmail.com,8
James Clark,General Surgeon,"$1,018 ",81-313651,Aley,4,Male,Mount Lebanon,james.clark@gmail.com,20
Julia Ballard,Oncologic Surgeon,$544 ,76-983085,Zahle,0,Female,General Hospital,julia.ballard@gmail.com,22
Teresa Cabrera,Vascular Surgeon,$335 ,81-972323,Beirut,9,Female,Rafic Hariri,teresa.cabrera@gmail.com,23
Mary Mendoza,Plastic Surgeon,"$1,258 ",71-863140,Nabatieh,10,Female,Hammoud Hospital,mary.mendoza@gmail.com,21
Janet Williams,Pediatric Surgeon,$838 ,71-562638,Zahle,4,Female,General Hospital,janet.williams@gmail.com,28
Maria Swanson,Vascular Surgeon,$590 ,81-257745,Aley,4,Female,Aley Medical Center,maria.swanson@gmail.com,18
Nicole Hernandez,Neurosurgeon,$604 ,76-158477,Zahle,3,Female,General Hospital,nicole.hernandez@gmail.com,24
Marco Williams,Vascular Surgeon,$772 ,76-395148,Aley,8,Male,Mount Lebanon,marco.williams@gmail.com,7
David Hill,Oncologic Surgeon,"$1,459 ",76-171695,Aley,1,Male,Aley Medical Center,david.hill@gmail.com,33
Vincent Everett,Pediatric Surgeon,"$1,448 ",81-217476,Baalbek,3,Male,Dar El Amal,vincent.everett@gmail.com,1
Roberta Lee,Cardiothoracic Surgeon,$392 ,81-847826,Tyre,7,Female,General Hospital,roberta.lee@gmail.com,22
Jennifer Simpson,General Surgeon,$371 ,81-452037,Baalbek,0,Female,Al Zahraa,jennifer.simpson@gmail.com,14
Kendra Bailey,Orthopedic Surgeon,$852 ,81-161643,Tripoli,3,Female,General Hospital,kendra.bailey@gmail.com,5
Haley Richards,Pediatric Surgeon,$345 ,71-474794,Baalbek,4,Female,Al Zahraa,haley.richards@gmail.com,28
Hannah Roberts,Cardiothoracic Surgeon,$572 ,76-429974,Zahle,5,Female,General Hospital,hannah.roberts@gmail.com,21
Mark Wood,Urologic Surgeon,"$1,253 ",76-546191,Tripoli,10,Male,General Hospital,mark.wood@gmail.com,15
David Taylor,Oncologic Surgeon,$822 ,76-714704,Tripoli,10,Male,General Hospital,david.taylor@gmail.com,1
Richard Ball,Orthopedic Surgeon,$773 ,81-531792,Tyre,2,Male,General Hospital,richard.ball@gmail.com,2
Kimberly Wilson,Vascular Surgeon,"$1,205 ",81-651197,Baalbek,10,Female,Dar El Amal,kimberly.wilson@gmail.com,28
Jerry Monroe,Urologic Surgeon,$301 ,76-662851,Tripoli,8,Male,General Hospital,jerry.monroe@gmail.com,7
Sara Wallace,Orthopedic Surgeon,"$1,463 ",71-387584,Sidon,6,Female,General Hospital,sara.wallace@gmail.com,4
Tamara Davis,Neurosurgeon,$386 ,71-827735,Jounieh,7,Female,General Hospital,tamara.davis@gmail.com,17
Angela Smith,Neurosurgeon,"$1,142 ",76-632809,Beirut,6,Female,Rafic Hariri,angela.smith@gmail.com,27
